,pred:ARTS,pred:ARTS & CULTURE,pred:BLACK VOICES,pred:BUSINESS,pred:COLLEGE,pred:COMEDY,pred:CRIME,pred:CULTURE & ARTS,pred:DIVORCE,pred:EDUCATION,pred:ENTERTAINMENT,pred:ENVIRONMENT,pred:FIFTY,pred:FOOD & DRINK,pred:GOOD NEWS,pred:GREEN,pred:HEALTHY LIVING,pred:HOME & LIVING,pred:IMPACT,pred:LATINO VOICES,pred:MEDIA,pred:MONEY,pred:PARENTING,pred:PARENTS,pred:POLITICS,pred:QUEER VOICES,pred:RELIGION,pred:SCIENCE,pred:SPORTS,pred:STYLE,pred:STYLE & BEAUTY,pred:TASTE,pred:TECH,pred:THE WORLDPOST,pred:TRAVEL,pred:WEDDINGS,pred:WEIRD NEWS,pred:WELLNESS,pred:WOMEN,pred:WORLD NEWS,pred:WORLDPOST
true:STYLE & BEAUTY,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,50,0,0,0,0,1,1,1,0,0,0
true:TASTE,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
true:TECH,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
true:THE WORLDPOST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0
true:TRAVEL,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,1,0,1,0,7,0,0,0,41,0,1,0,0,0,0
true:WEDDINGS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,1,0
true:WEIRD NEWS,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,2,0,0,0,3,0,2,2,0,0,0
true:WELLNESS,0,0,0,2,0,0,0,0,0,0,5,0,0,5,1,0,3,1,0,0,0,0,3,0,8,2,0,1,0,0,1,0,1,0,4,2,0,80,1,0,0
true:WOMEN,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0
true:WORLD NEWS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0
true:WORLDPOST,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,2
